particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,max,199.6,189.2,115498,0.0,0.5,1.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,182.8(-6.6)(16.8),182.7,-2345,,,,,,,,,,
,min,176.2,176.2,117844,0.0,0.5,1.0,-2.0,2.0,-2.5,-0.5,,,
,delta,,,2345,,,,,,,,10985,21.34729,∆ abs(i)
,max,199.6,199.5,128294,0.0,0.5,1.5,-2.0,-2.5,2.5,-0.5,,,
,mean,182.8(-6.6)(16.8),187.9,-5694,,,,,,,,,,
,min,176.2,176.2,133989,0.0,0.5,1.5,1.0,2.5,0.0,-0.5,,,
,delta,,,5694,,,,,,,,10985,51.83432,∆ abs(i)
,max,199.6,199.5,143067,0.0,0.5,2.0,0.0,1.0,-2.5,1.0,,,
,mean,182.8(-6.6)(16.8),187.9,-9470,,,,,,,,,,
,min,176.2,176.2,152538,0.0,1.0,-2.0,-1.0,2.0,2.5,-1.0,,,
,delta,,,9470,,,,,,,,21970,43.10423,∆ abs(i)
,max,199.6,199.5,162449,0.0,1.0,-1.5,-1.5,0.5,-1.0,-0.5,,,
,mean,182.8(-6.6)(16.8),187.9,-5582,,,,,,,,,,
,min,176.2,176.2,168032,0.0,1.0,-1.5,2.0,-2.0,-2.0,1.0,,,
,delta,,,5582,,,,,,,,10985,50.81475,∆ abs(i)
,max,199.6,199.5,178390,0.0,1.0,-1.0,1.5,-0.5,0.5,0.0,,,
,mean,182.8(-6.6)(16.8),191.5,-3016,,,,,,,,,,
,min,176.2,183.5,181407,0.0,1.0,-1.0,3.0,3.0,3.0,1.0,,,
,delta,,,3016,,,,,,,,10985,27.45562,∆ abs(i)
,total,,,26107,,,,,,,,65910,39.61007,Σ ∆i
Muon,particle,,,,,,,,,,,,,
,max,206.7682873,206.7682831,177473,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,,,
,mean,206.7682827(46),206.7682831,1,,,,,,,,,,
,min,206.768278,206.7682831,177473,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,,,
,delta,,,1,,,,,,,,10985,0.0091,∆ abs(i)
,total,,,1,,,,,,,,10985,0.0091,Σ ∆i
Pion π$^0$,particle,,,,,,,,,,,,,
,max,264.1439,264.1434,193277,0.0,1.0,0.0,-2.5,-3.0,0.5,1.0,,,
,mean,264.1430(9),264.1433,-1665,,,,,,,,,,
,min,264.142,264.1432,194943,0.0,1.0,0.0,-1.5,-3.0,-1.5,-1.0,,,
,delta,,,1665,,,,,,,,10985,15.15703,∆ abs(i)
,total,,,1665,,,,,,,,10985,15.15703,Σ ∆i
Pion π$^{+-}$,particle,,,,,,,,,,,,,
,max,273.13278,273.13259,223716,0.0,1.0,1.0,2.5,-3.0,2.5,0.5,,,
,mean,273.13243(35),273.13254,-832,,,,,,,,,,
,min,273.13208,273.13249,224549,0.0,1.0,1.0,3.0,-3.0,1.5,-0.5,,,
,delta,,,832,,,,,,,,10985,7.57396,∆ abs(i)
,total,,,832,,,,,,,,10985,7.57396,Σ ∆i
K$^{+-}$,mean,966.102(21),,,,,,,,,,,,only with i4 > 1
KL$^0$,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
KS$^0$,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
Eta η,mean,1072.139(35),,,,,,,,,,,,only with i4 > 1
Rho ρ$^{+-}$,mean,1506(1),,,,,,,,,,,,only with i4 > 1
Rho ρ$^0$,mean,1517.14(49),,,,,,,,,,,,only with i4 > 1
Omega ω,mean,1531.62(25),,,,,,,,,,,,only with i4 > 1
K*$^{+-}$,mean,1745.2(1),,,,,,,,,,,,only with i4 > 1
K*$^0$,mean,1752.6(1),,,,,,,,,,,,only with i4 > 1
Proton,mean,1836.152673426(32),,,,,,,,,,,,only with i4 > 1
H,mean,1837.47(-0.29)(0.20),,,,,,,,,,,,only with i4 > 1
Neutron,mean,1838.68366200(74),,,,,,,,,,,,only with i4 > 1
Eta η`,mean,1874.32(11),,,,,,,,,,,,only with i4 > 1
Phi ,mean,1995.035(31),,,,,,,,,,,,only with i4 > 1
c,mean,2485(-39)(39),,,,,,,,,,,,only with i4 > 1
Tau,mean,3477.23(23),,,,,,,,,,,,only with i4 > 1
D$^0$,mean,3649.38(10),,,,,,,,,,,,only with i4 > 1
D$^+$,mean,3658.81(10),,,,,,,,,,,,only with i4 > 1
Deuteron,mean,3670.48296788(13),,,,,,,,,,,,only with i4 > 1
DS$^+$,mean,3851.94(13),,,,,,,,,,,,only with i4 > 1
Triton,mean,5496.92153573(27),,,,,,,,,,,,only with i4 > 1
